Col0,Col1,Col2,Col3,Col4
"Outcome
Timeframe",Study results and measurements,"Comparator
Artesunate + mefloquine","Intervention
Dihydroartemisinin +
piperaquine","Certainty of the
evidence
(Quality of evidence)"
"Serious adverse
events (including
deaths)","Based on data from 3,522
participants in 8 studies.
(Randomized controlled)","8
per 1000
Difference:","9
per 1000
1 more per 1000","Moderate
Due to serious
imprecision 1"
Nausea,"Based on data from 4,531
participants in 9 studies.
(Randomized controlled)","20
per 1000
Difference:","14
per 1000
6 fewer per 1000","Moderate
Due to serious risk of
bias 2"
Early vomiting,"Based on data from 4,114
participants in 9 studies.
(Randomized controlled)","7
per 1000
Difference:","6
per 1000
1 fewer per 1000","Moderate
Due to serious risk of
bias 3"
Vomiting,"Based on data from 2,744
participants in 5 studies.
(Randomized controlled)","13
per 1000
Difference:","8
per 1000
5 fewer per 1000","Moderate
Due to serious risk of
bias 4"
Anorexia,"Based on data from 3,497
participants in 6 studies.
(Randomized controlled)","15
per 1000
Difference:","13
per 1000
2 fewer per 1000","Low
Due to serious risk of
bias and serious
imprecision 5"
Diarrhoea,"Based on data from 2,217
participants in 5 studies.
(Randomized controlled)","6
per 1000
Difference:","8
per 1000
2 more per 1000","Moderate
Due to serious risk of
bias 6"
Abdominal pain,"Based on data from 3,887
participants in 7 studies.
(Randomized controlled)","11
per 1000
Difference:","11
per 1000
0 fewer per 1000","Moderate
Due to serious risk of
bias 7"
Headache,"Based on data from 2,039
participants in 4 studies.
(Randomized controlled)","12
per 1000
Difference:","10
per 1000
2 fewer per 1000","Low
Due to serious risk of
bias and serious
inconsistency 8"
Dizziness,"Based on data from 4,531
participants in 9 studies.
(Randomized controlled)","36
per 1000
Difference:","26
per 1000
10 fewer per 1000","Moderate
Due to serious risk of
bias 9"
,,,,
